GEO,AAR,ALDER,ANTALL,KJONN
5436,2021,59,17,1
5436,2021,61,22,2
5436,2021,62,12,1
5436,2021,64,23,2
5436,2021,65,24,2
5436,2021,66,22,2
5436,2021,68,21,1
5436,2021,69,15,2
5436,2021,70,21,2
5436,2021,77,9,2
5436,2021,80,11,2
5436,2021,81,7,1
5436,2021,19,6,1
5436,2021,20,8,2
5436,2021,21,13,2
5436,2021,22,12,1
5436,2021,23,18,2
5436,2021,24,15,1
5436,2021,25,21,2
5436,2021,26,19,2
5436,2021,28,9,1
5436,2021,29,7,2
5436,2021,30,14,2
5436,2021,31,9,2
5436,2021,32,9,1
5436,2021,33,9,1
5436,2021,37,9,2
5436,2021,40,6,1
5436,2021,43,11,2
5436,2021,45,10,1
5436,2021,50,10,1
5436,2021,52,12,1
5436,2021,56,11,2
5436,2021,60,17,2
5436,2021,73,16,2
5436,2021,75,25,2
5436,2021,78,15,2
5436,2021,34,6,1
5436,2021,38,6,2
5436,2021,41,9,2
5436,2021,42,6,1
5436,2021,63,11,2
9999,2021,18,10,1
